# name = template | token1, token2, ...
#backpack           = bright red backpack    | backpack
#backpack_dog       = beige backpack         | backpack
#bear_plushie       = brown teddy bear       | bear
berry_bowl         = white berry bowl       | bowl
can                = blue beer can          | can
candle             = white candle           | candle
cat                = thin brown cat         | cat
cat2               = fluffy grey cat        | cat
clock              = yellow alarm clock     | clock
colorful_sneaker   = colorful sneaker       | sneaker
dog                = cute fluffy dog        | dog
dog2               = fluffy brown dog       | dog
dog3               = small curly dog        | dog
dog5               = cute brown dachshund   | dachshund
dog6               = small puppy            | puppy
dog7               = happy dog              | dog
dog8               = fluffy white dog       | dog
duck_toy           = yellow rubber duck     | duck
fancy_boot         = fancy beige boot       | boot
grey_sloth_plushie = grey sloth plushie     | plushie
monster_toy        = fluffy monster toy     | toy
pink_sunglasses    = pink sunglasses        | sunglasses
poop_emoji         = poop emoji toy         | toy
rc_car             = rc toy car             | car
red_cartoon        = cartoon monster        | monster
robot_toy          = robot toy              | toy
shiny_sneaker      = shiny sneaker          | sneaker
teapot             = brown teapot           | teapot
vase               = thin red vase          | vase
wolf_plushie       = wolf plushie           | plushie
